,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive,3PAr,FTr,TS%
177,1982-83,26.0,PHI,NBA,PF,80.0,1612.0,7.3,8.0,13.3,10.8,6.4,0.9,1.5,24.8,13.2,-0.6,2.1,1.5,0.045,-3.5,0.5,-3.1,-0.4,Marc Iavaroni,0,0.006,0.32,0.502
178,1982-83,22.0,KCK,NBA,PF,82.0,1643.0,11.6,11.2,20.7,16.0,4.4,1.9,0.4,14.6,8.1,2.6,2.1,4.7,0.13699999999999998,-0.2,0.9,0.6,1.1,Ed Nealy,0,0.0,0.462,0.612
179,1982-83,21.0,DEN,NBA,PG,74.0,1443.0,10.7,2.6,7.0,4.8,28.8,2.6,0.4,25.4,18.7,-0.8,0.7,-0.1,-0.004,-2.8,-1.3,-4.1,-0.8,Rob Williams,0,0.032,0.37200000000000005,0.473
180,1982-83,23.0,UTA,NBA,PG,82.0,1588.0,13.0,2.2,5.5,3.9,18.5,1.4,0.1,18.2,20.6,1.2,0.8,2.0,0.061,-1.0,-1.7,-2.7,-0.3,Jerry Eaves,0,0.013999999999999999,0.43,0.557
181,1982-83,24.0,MIL,NBA,SG,79.0,1528.0,12.8,6.3,13.6,10.1,18.3,3.1,1.7,23.0,19.1,-0.9,2.8,2.0,0.062,-1.5,2.2,0.8,1.1,Paul Pressey,1,0.019,0.37799999999999995,0.489
182,1982-83,23.0,GSW,NBA,PG,75.0,1416.0,14.0,5.1,12.0,8.4,21.9,3.8,0.3,21.9,12.5,1.2,1.5,2.7,0.092,-0.7,2.2,1.5,1.3,Lester Conner,0,,,0.523
183,1982-83,26.0,UTA,NBA,C,81.0,1528.0,11.0,5.9,24.4,15.4,9.2,0.7,9.2,26.3,13.6,-2.1,2.9,0.8,0.026000000000000002,-4.8,4.3,-0.5,0.6,Mark Eaton,1,0.003,0.255,0.447
184,1982-83,22.0,DAL,NBA,C,75.0,1411.0,15.0,10.6,20.6,15.5,9.0,1.6,2.7,17.0,13.4,2.6,1.3,3.9,0.133,-0.2,0.9,0.7,1.0,Bill Garnett,0,0.009000000000000001,0.545,0.593
185,1982-83,23.0,HOU,NBA,SG,44.0,774.0,7.9,3.3,7.8,5.4,18.6,2.4,1.1,25.0,12.4,-0.6,0.5,-0.2,-0.011000000000000001,-3.9,0.8,-3.1,-0.2,Jeff Taylor,0,0.006,0.28800000000000003,0.43799999999999994
186,1982-83,23.0,WSB,NBA,PG,43.0,727.0,6.5,2.3,8.3,5.3,23.3,1.4,0.6,26.6,15.2,-0.9,1.0,0.1,0.008,-5.1,0.8,-4.3,-0.4,Bryan Warrick,0,0.028999999999999998,0.33299999999999996,0.439
