,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
251,1995-96,23.0,BOS,NBA,PF,61.0,495.0,9.0,0.44799999999999995,0.0,0.547,9.9,14.8,12.3,4.6,1.5,1.4,15.9,21.8,-0.6,0.4,-0.2,-0.018000000000000002,-5.5,-2.0,-7.5,-0.7,Junior Burrough,0
252,1995-96,23.0,DET,NBA,SF,49.0,372.0,9.0,0.43200000000000005,0.1,0.35600000000000004,10.1,15.0,12.7,6.5,1.5,1.7,14.0,15.5,-0.1,0.5,0.4,0.053,-3.1,0.1,-3.0,-0.1,Lou Roe,0
253,1995-96,25.0,MIN,NBA,PF,53.0,369.0,9.8,0.475,0.0,0.342,12.3,13.3,12.8,3.6,2.4,1.7,15.8,19.7,-0.3,0.3,0.1,0.012,-4.6,-1.0,-5.6,-0.3,Marques Bragg,0
254,1995-96,25.0,TOT,NBA,C,33.0,151.0,7.0,0.41600000000000004,0.0,0.195,8.2,13.8,10.9,3.0,0.7,2.5,6.3,14.0,0.0,0.1,0.1,0.035,-5.4,-1.5,-6.9,-0.2,Todd Mundt,0
255,1994-95,22.0,DET,NBA,SF,70.0,2678.0,19.0,0.541,0.025,0.48,5.4,14.1,9.7,22.5,2.4,1.7,13.5,24.9,3.7,1.8,5.4,0.09699999999999999,2.1,-0.1,2.0,2.7,Grant Hill,0
256,1994-95,22.0,MIL,NBA,SF,80.0,2958.0,16.6,0.5379999999999999,0.19,0.354,6.7,14.4,10.4,12.2,2.0,0.6,16.1,29.1,1.1,2.2,3.2,0.053,0.6,-1.5,-0.9,0.8,Glenn Robinson,0
257,1994-95,21.0,WSB,NBA,PF,65.0,2348.0,15.0,0.521,0.008,0.314,8.7,18.4,13.4,11.6,1.1,0.5,13.5,22.8,1.3,1.5,2.8,0.057,-0.7,-1.5,-2.2,-0.1,Juwan Howard,0
258,1994-95,21.0,DAL,NBA,PG,79.0,2668.0,15.1,0.47100000000000003,0.3,0.321,5.8,11.9,8.7,33.2,2.9,0.6,20.4,19.0,1.1,2.6,3.7,0.066,0.6,0.6,1.2,2.0,Jason Kidd,1
259,1994-95,21.0,LAC,NBA,SF,81.0,2556.0,11.6,0.47200000000000003,0.19899999999999998,0.242,5.7,10.9,8.1,8.7,1.4,1.6,11.9,23.4,-1.4,1.1,-0.3,-0.006,-1.5,-2.0,-3.4,-0.9,Lamond Murray,0
260,1994-95,23.0,LAL,NBA,SG,64.0,1981.0,16.3,0.5479999999999999,0.331,0.22699999999999998,4.4,9.5,7.0,9.9,3.3,1.4,8.4,19.4,2.9,2.1,5.0,0.122,1.0,1.3,2.3,2.1,Eddie Jones,1
