,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Name,all_defensive
247,2003-04,22.0,PHI,NBA,SF,74.0,882.0,10.1,0.489,0.633,0.073,4.0,10.7,7.4,8.3,1.5,0.7,10.8,20.2,0.2,0.8,1.0,0.054000000000000006,-0.2,-0.5,-0.7,0.3,Kyle Korver,0
248,2003-04,23.0,BOS,NBA,PF,36.0,406.0,12.6,0.46299999999999997,0.026000000000000002,0.371,14.4,18.8,16.6,7.9,1.6,0.2,14.0,17.6,0.2,0.4,0.6,0.066,-1.1,-1.3,-2.4,0.0,Brandon Hunter,0
249,2003-04,19.0,ORL,NBA,C,59.0,664.0,10.8,0.452,0.0,0.514,11.5,18.3,14.9,3.1,1.7,1.3,13.7,16.9,0.1,0.2,0.3,0.023,-3.3,-2.5,-5.8,-0.6,Zaza Pachulia,0
250,2003-04,18.0,PHO,NBA,C,21.0,224.0,12.2,0.512,0.045,0.14800000000000002,4.6,17.9,11.2,7.2,0.7,1.0,13.8,21.9,0.0,0.1,0.1,0.028999999999999998,-2.8,-2.0,-4.8,-0.2,Maciej Lampe,0
251,2003-04,22.0,CLE,NBA,SF,41.0,427.0,10.2,0.519,0.341,0.18600000000000003,4.9,9.3,7.1,5.3,1.6,0.3,13.1,16.8,0.3,0.2,0.5,0.055999999999999994,-1.5,-1.1,-2.6,-0.1,Jason Kapono,0
252,2003-04,23.0,LAL,NBA,PF,72.0,730.0,12.7,0.505,0.255,0.28800000000000003,6.0,13.8,9.8,23.0,2.0,0.8,20.3,13.3,0.7,0.9,1.6,0.10300000000000001,-0.4,1.3,0.9,0.5,Luke Walton,0
253,2003-04,23.0,ORL,NBA,PG,38.0,364.0,6.1,0.35600000000000004,0.11599999999999999,0.29100000000000004,2.4,9.9,6.1,16.6,1.6,0.4,15.7,14.3,-0.4,0.0,-0.5,-0.065,-4.5,-1.6,-6.1,-0.4,Reece Gaines,0
254,2003-04,26.0,SEA,NBA,SF,54.0,469.0,15.7,0.608,0.662,0.187,3.0,11.0,7.0,8.4,1.8,0.6,4.4,15.5,1.4,0.1,1.5,0.152,1.9,-0.6,1.4,0.4,Richie Frahm,0
255,2003-04,23.0,TOT,NBA,SG,16.0,70.0,3.8,,,,1.6,8.2,4.9,4.6,0.8,0.0,,16.5,-0.1,0.0,0.0,-0.033,-6.6,-1.5,-8.2,-0.1,Matt Carroll,0
256,2002-03,22.0,MIA,NBA,SF,78.0,2858.0,15.1,0.502,0.10400000000000001,0.363,5.3,10.9,8.0,14.1,2.6,0.9,13.8,22.9,1.6,3.6,5.1,0.086,-0.4,1.0,0.5,1.8,Caron Butler,0
257,2002-03,20.0,PHO,NBA,PF,82.0,2570.0,16.2,0.53,0.012,0.583,10.9,20.9,15.9,5.0,1.3,2.5,15.3,21.5,2.6,3.6,6.2,0.11599999999999999,-0.9,-0.4,-1.3,0.4,Amar'e Stoudemire,0
258,2002-03,19.0,CLE,NBA,SG,47.0,1385.0,10.9,0.466,0.28800000000000003,0.264,1.6,5.1,3.3,16.8,1.4,0.4,11.2,23.8,0.2,0.1,0.3,0.011000000000000001,-1.9,-2.8,-4.7,-0.9,Dajuan Wagner,0
259,2002-03,22.0,HOU,NBA,C,82.0,2382.0,20.6,0.57,0.002,0.461,9.7,22.6,16.3,10.6,0.7,4.4,15.2,22.1,5.2,3.5,8.7,0.17600000000000002,1.3,0.9,2.2,2.5,Yao Ming,0
